id~dateiname~universitaet~semester~beginn~ende~quelle~status_komplett~titel
1855s~1855s.xml~Zürich~Sommer~1855~1855~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1855. Anfang am 16. April, Schluss am 18. August, Zürich: Zürcher und Furrer, 1855.~ja~Sommersemester 1855
1855w~1855w.xml~Zürich~Winter~1855~1856~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1855/56. Anfang am 15. Oktober, Schluss am 22. März, Zürich: Zürcher und Furrer, 1855.~ja~Wintersemester 1855/56
1856s~1856s.xml~Zürich~Sommer~1856~1856~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1856. Anfang am 16. April, Schluss am 18. August, Zürich: Zürcher und Furrer, 1856.~ja~Sommersemester 1856
1856w~1856w.xml~Zürich~Winter~1856~1857~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1856/57. Anfang am 13. October, Schluss am 21. März, Zürich: Zürcher und Furrer, 1856.~ja~Wintersemester 1856/57
1857s~1857s.xml~Zürich~Sommer~1857~1857~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1857. Anfang am 15. April, Schluss am 15. August, Zürich: Zürcher und Furrer, 1857.~ja~Sommersemester 1857
1857w~1857w.xml~Zürich~Winter~1857~1858~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1857/58. Anfang am 12. Oktober, Schluss am 13. März, Zürich: Zürcher und Furrer, 1857.~ja~Wintersemester 1857/58
1858s~1858s.xml~Zürich~Sommer~1858~1858~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1858. Anfang am 12. April, Schluss am 21. August 1858, Zürich: Zürcher und Furrer, 1858.~ja~Sommersemester 1858
1858w~1858w.xml~Zürich~Winter~1858~1859~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1858/59. Anfang am 18. Oktober, Schluss am 19. März 1859, Zürich: Zürcher und Furrer, 1858.~ja~Wintersemester 1858/59
1859s~1859s.xml~Zürich~Sommer~1859~1859~Verzeichniss der Vorlesungen an der Universität Zürich im Sommer-Semester 1859. Anfang am 26. April, Schluss am 20. August 1859, Zürich: Zürcher und Furrer, 1859.~ja~Sommersemester 1859
1859w~1859w.xml~Zürich~Winter~1859~1860~Verzeichniss der Vorlesungen an der Universität Zürich im Winter-Semester 1859/60. Anfang am 17. Oktober, Schluss am 26. März, Zürich: Zürcher und Furrer, 1859.~ja~Wintersemester 1859/60
