id_dozent~id_fakultaet~nachname~vorname~geboren~gestorben~pnd~wikipedia~gagliardi~dekanat~rektor
cramer_c~2~Cramer~Carl~1831~1901~117664340~https://de.wikipedia.org/wiki/Carl_Eduard_Cramer_(Botaniker)~UZV: 992, Nr. 16~~
cramer_s~2~Cramer~Salomon~1819~1844~~~UZV: 986, Nr. 115~~
daendliker_k~2~Dändliker~Karl~1849~1910~123794706~https://de.wikipedia.org/wiki/Karl_Dändliker~UZV: 984, Nr. 77~~
daverio_lh~2~Daverio~Ludwig Herkules~1804~1849~100766803~~UZV: 986, Nr. 104~~
delbrueck_awa~1~Delbrueck~Anton Wolfgang Adalbert~1862~1944~127831010~https://de.wikipedia.org/wiki/Anton_Delbrück~UZV: 973, Nr. 129~~
demme_h~1~Demme~Hermann~1802~1867~116069414~https://de.wikipedia.org/wiki/Hermann_Askan_Demme~UZV: 970, Nr. 70~~
denzler_w~2~Denzler~Wilhelm~1811~1893~~~UZV: 994, Nr. 56~~
dernburg_h~3~Dernburg~Heinrich~1829~1907~11867787X~https://de.wikipedia.org/wiki/Heinrich_Dernburg~UZV: 961, Nr. 14~Dekan: 1858-1859/60~
deschwanden_jw~2~Deschwanden~Joseph Wolfgang~1819~1866~118524879~~UZV: 994, Nr. 53~~
dilthey_k~2~Dilthey~Karl~1839~1907~116128194~https://de.wikipedia.org/wiki/Karl_Dilthey~UZV: 981, Nr. 16~Dekan: 1876-1877~
dodel_a~2~Dodel~Arnold~1843~1908~118679988~https://de.wikipedia.org/wiki/Arnold_Dodel-Port~UZV: 992, Nr. 17~~
dodel_l~2~Dodel~Luise~1863~~~~~~
durege_h~2~Durège~Heinrich~1821~1893~116254688~https://de.wikipedia.org/wiki/Heinrich_Durège~UZV: 996, Nr. 90~~
eberth_kj~1~Eberth~Karl Joseph~1835~1926~118906232~https://de.wikipedia.org/wiki/Karl_Joseph_Eberth~UZV: 967, Nr. 24~Dekan: 1876-1877/78~
ebrard_jha~4~Ebrard~Johann Heinrich August~1818~1888~118687611~https://de.wikipedia.org/wiki/August_Ebrard~UZV: 958, Nr. 35~Dekan: 1847~
egli_e~4~Egli~Emil~1848~1908~118688111~https://de.wikipedia.org/wiki/Emil_Egli_(Theologe)~UZV: 958, Nr. 19~Dekan: 1896-1897/98~
egli_jj~2~Egli~Johann Jakob~1825~1896~116371757~https://de.wikipedia.org/wiki/Johann_Jakob_Egli~UZV: 984, Nr. 75~~
egli_k~4~Egli~Karl~1829~1904~116371773~~UZV: 959, Nr. 44~~
ehrenberg_kf~2~Ehrenberg~Karl Ferdinand~1806~1841~129348848~https://de.wikipedia.org/wiki/Carl_Ferdinand_von_Ehrenberg~UZV: 995, Nr. 73~~
eichelberg_jfa~2~Eichelberg~Johann Friedrich Andreas~1808~1871~10408748X~~UZV: 996, Nr. 79~~
eichhorst_h~1~Eichhorst~Hermann~1849~1921~11879986X~https://de.wikipedia.org/wiki/Hermann_Eichhorst~UZV: 968, Nr. 35~Dekan: 1888-1889/90~
eleutheropulos_a~2~Eleutheropulos~Abroteles~1873~1963~11644696X~~UZV: 988, Nr. 152~~
elwert_e~4~Elwert~Eduard~1805~1865~116463694~https://de.wikipedia.org/wiki/Eduard_Elwert~UZV: 957, Nr. 3~~
engel_j~1~Engel~Joseph~1816~1899~119068257~https://de.wikipedia.org/wiki/Josef_Engel~UZV: 967, Nr. 8~Dekan: 1848/49-1849~
ernst_f~1~Ernst~Friedrich~1828~1911~122766024~~UZV: 970, Nr. 76~~
erxleben_a~3~Erxleben~Albrecht~1814~1887~116568569~https://de.wikipedia.org/wiki/Albrecht_Erxleben~UZV: 960, Nr. 6~Dekan: 1844-1845/46~
escher_a~3~Escher~Alfred~1819~1882~118830295~https://de.wikipedia.org/wiki/Alfred_Escher~UZV: 964, Nr. 71~~
escher_e~3~Escher~Eugen~1831~1900~116569158~~UZV: 964, Nr. 76~~
escher_g~2~Escher~Gottfried~1800~1876~101892284~~UZV: 995, Nr. 72~~
escher_h-1781~2~Escher~Heinrich~1781~1860~116569182~~UZV: 985, Nr. 101~~
escher_h-1789~3~Escher~Heinrich~1789~1870~117512613~https://de.wikipedia.org/wiki/Heinrich_Escher_(Rechtsgelehrter)~UZV: 963, Nr. 61~~
escher-linth_a~2~Escher von der Linth~Arnold~1807~1872~11656928X~https://de.wikipedia.org/wiki/Arnold_Escher_von_der_Linth~UZV: 991, Nr. 5~~
eschmann_j~2~Eschmann~Johannes~1808~1852~100456332~~UZV: 995, Nr. 74~~
ettmueller_eml~2~Ettmüller~Ernst Moritz Ludwig~1802~1877~116585986~~UZV: 984, Nr. 67~~
exner_a~3~Exner~Adolf~1841~1894~11896061X~https://de.wikipedia.org/wiki/Adolf_Exner~UZV: 961, Nr. 21~Dekan: 1870-1871/72~
fehr_d~2~Fehr~Daniel~1819~1881~~~UZV: 986, Nr. 118~~
fein_e~3~Fein~Eduard~1813~1858~102462941~https://de.wikipedia.org/wiki/Eduard_Fein~UZV: 960, Nr. 8~~
feist_f~2~Feist~Franz~1864~1941~11643855X~https://de.wikipedia.org/wiki/Franz_Feist~UZV: 998, Nr. 125~~
felix_w~1~Felix~Walther~1860~1930~118818899~https://de.wikipedia.org/wiki/Walther_Felix~UZV: 969, Nr. 57~~
fick_a~1~Fick~Adolf~1829~1901~118800000~https://de.wikipedia.org/wiki/Adolf_Fick~UZV: 967, Nr. 17~Dekan: 1866-1867/68~
fick_age~1~Fick~Adolf Gaston Eugen~1852~1937~117507288~https://de.wikipedia.org/wiki/Adolf_Gaston_Eugen_Fick~UZV: 973, Nr. 122~~
fick_h~3~Fick~Heinrich~1822~1895~118683535~https://de.wikipedia.org/wiki/Heinrich_Fick~UZV: 961, Nr. 18~Dekan: 1862-1863/64; 1872-1873/74~Rektor: 1884-1885/86
fiedler_k~2~Fiedler~Karl~1863~1894~116525568~~UZV: 998, Nr. 116~~
finsler_hj~1~Finsler~Hans Jakob~1796~1863~101757441~~UZV: 971, Nr. 101~~
flegler_a~2~Flegler~Alexander~1804~1892~116599170~~UZV: 986, Nr. 117~~
fleiner_f~3~Fleiner~Fritz~1867~1937~11868390X~~UZV: 963, Nr. 49~~
foerster_fw~2~Förster~Friedrich Wilhelm~1869~1966~118692038~https://de.wikipedia.org/wiki/Friedrich_Wilhelm_Foerster~UZV: 988, Nr. 155~~
forel_a~1~Forel~Auguste~1848~1931~118534327~https://de.wikipedia.org/wiki/Auguste_Forel~UZV: 968, Nr. 31~Dekan: 1884-1885/86~
frankenhaeuser_f~1~Frankenhäuser~Ferdinand~1832~1894~119130882~~UZV: 968, Nr. 25~Dekan: 1880-1881/82~
frey_a~2~Frey~Adolf~1855~1920~116782544~https://de.wikipedia.org/wiki/Adolf_Frey~UZV: 982, Nr. 32~~
frey_h~1~Frey~Heinrich~1822~1890~119070561~https://de.wikipedia.org/wiki/Heinrich_Frey_(Anatom)~UZV: 967, Nr. 10~Dekan: 1859/60-1861/62~Rektor: 1854/55-1855/56
frey_j~2~Frey~Johannes~1821~1899~~~UZV: 983, Nr. 64~Dekan: 1855-1857~
frey_m~1~Frey~Max~1852~1932~118955144~https://de.wikipedia.org/wiki/Maximilian_von_Frey~UZV: 969, Nr. 44~~
fries_d~4~Fries~David~1818~1875~~~UZV: 959, Nr. 43~~
fritsch_kwg~2~Fritsch~Karl Wilhelm Georg~1838~1906~116825324~https://de.wikipedia.org/wiki/Karl_von_Fritsch~UZV: 996, Nr. 92~~
fritzsche_of~4~Fritzsche~Otto Fridolin~1812~1896~116826851~https://de.wikipedia.org/wiki/Otto_Fridolin_Fritzsche~UZV: 957, Nr. 7~"Dekan: 1841-1842/43; 1849-1850/51; 1859/60-1861/62; 1870-1871/72;
    1882-1883/84"~Rektor: 1866-1867/68
froebel_j~2~Fröbel~Julius~1805~1893~118536303~https://de.wikipedia.org/wiki/Julius_Fröbel~UZV: 994, Nr. 50~~
froehner_j~5~Froehner~Julius~1842~1905~~~UZV: 977, Nr. 3~~
frueh_j~2~Früh~Jacob~1852~1938~116840692~~UZV: 998, Nr. 119~~
